HDAC10, 25.92
SNORD141A, 48.63
RNU7-136P, 31.29
AFMID, 37.05
CDCA4P2, 36.74
RNU6-854P, 29.06
GART, 73.71
E2F8, 48.53
SCFD2, 67.61
MIR3973, 45.88
RNU6-153P, 33.13
IGKV1D-33, 58.59
RPS13P2, 61.70
TMEM108-AS1, 61.57
RN7SL625P, 53.17
PQLC2, 44.60
RILP, 26.12
NXF2B, 86.17
LINC01817, 46.10
LINC00501, 76.71
RNU6-669P, 43.24
C18orf12, 43.70
RNU6-708P, 46.74
RNU6-783P, 37.87
CDC42P2, 83.00
LINC00892, 81.06
ENTPD1-AS1, 45.74
YARS, 46.95
RPL7P57, 30.86
HNRNPRP3, 60.13
SNORD115-43, 38.40
CHCHD2P11, 19.64
GSM1, 53.85
RPS2P21, 31.14
RPS2, 49.36
CAPS, 45.71
TTC4, 28.74
SCCPDH, 56.00
MIR6888, 46.82
DFNB38, 37.53
RPL5P24, 8.66
RNU1-76P, 60.88
TSTD3, 20.99
ANGPT2, 42.25
RNF225, 64.00
PCDHA13, 55.02
HNRNPA3P12, 62.09
NPAP1P3, 71.06
RAB1A, 68.79
RPL5P17, 53.65
LINC00843, 44.82
RN7SL415P, 56.62
UBE2V1P14, 84.75
GDF9, 62.48
RNU6-544P, 87.66
KRT8P6, 37.35
MTDHP2, 61.51
MIR155, 33.58
ADORA2A, 9.99
HMGB1P51, 76.44
CHCHD6, 30.90
ACSF2, 28.69
MAPK6PS2, 42.27
RNU7-195P, 64.48
SNORD111, 66.60
CDK5RAP3, 52.21
RNY3P5, 85.29
RNU1-36P, 57.68
INPP1, 63.01
MIR378B, 44.02
MAPK6, 73.22
FRMPD2, 34.22
PDCD4-AS1, 56.66
PPH2, 69.92
EIF1B-AS1, 59.68
PGM5, 52.00
RNY3P10, 97.95
RNU6-905P, 12.97
RNU7-81P, 57.94
LINC02035, 47.70
RN7SL632P, 65.97
KIF26B, 46.55
CNTFR-AS1, 52.85
GBP4, 41.34
RN7SL474P, 72.38
GSTTP2, 31.59
TACR2, 76.72
RNU5E-9P, 65.75
FN1, 36.86
MIR4763, 73.34
NRG3, 65.77
RPS9P4, 58.17
PGM1, 45.31
RNU2-46P, 30.91
TXNP4, 87.29
MIR624, 47.19
PYURF, 38.32
HTN3, 53.91
POPDC3, 60.66
PRR20FP, 83.50
BTF3P16, 56.70
TXNP5, 41.48
RN7SL253P, 25.52
MIC12, 85.46
ENTHD1, 55.27
C18orf32, 64.10
LINC01877, 64.30
CTD, 54.25
ICMT, 37.36
RN7SL546P, 38.46
RPL12P1, 43.78
ZNF469, 26.82
FOXP4-AS1, 8.29
GPHB5, 40.12
GAPDHP55, 30.98
RNU6-410P, 28.04
CAPN10, 76.75
ZNF571, 59.48
RPL26P28, 57.51
MIR6854, 55.75
KRT8P36, 70.15
LYPD1, 46.20
RPL36AP30, 33.18
DUXAP7, 83.26
C6orf1, 38.16
PIRC47, 34.22
DBIL5P2, 32.84
MLECP1, 40.89
HNRNPA3P9, 74.61
LINC00537, 3.89
BANK1, 55.58
PTCSC2, 43.68
RPS2P24, 23.22
AQP7P4, 87.38
EVR3, 24.63
LINC01679, 56.13
RNU7-36P, 17.37
MRPS18CP3, 62.70
RN7SL480P, 20.83
HLA-N, 23.24
RPL12P3, 44.92
CYCSP22, 60.31
LINC00582, 51.94
ZNF219, 31.03
MIR592, 63.77
TREHP1, 85.39
MIR337, 40.12
MIR6770-2, 61.26
RNY4P22, 37.11
RN7SKP171, 90.35
HEATR1, 74.95
OSTCP5, 34.54
CLDN7, 33.92
TRBV6-1, 29.88
C5orf58, 33.57
CMT1A, 41.33
RNU6-1340P, 21.29
GDPD4, 61.21
RNU6-1116P, 76.75
MIR1262, 49.57
TNPO3, 41.85
RPL30P11, 41.72
RBM27, 51.57
MIR5011, 1.32
RPL5P9, 11.08
SYNGR1, 50.20
GAPDHP76, 72.13
MIR4770, 52.26
RPL17P11, 41.49
SEPT11, 17.57
RN7SL504P, 55.25
KRT8P22, 49.85
C20orf202, 35.28
RPL5, 79.34
RPS10P18, 37.35
RPL23AP95, 103.85
TRAJ36, 24.54
RPS4Y1P1, 61.03
IL9RP1, 39.97
KIAA1429, 30.83
NDUFB4P12, 58.22
RPS7P14, 65.48
VN1R40P, 69.98
ZNF888, 14.59
NPAP1P2, 11.90
DUX4L27, 32.08
RPL21P120, 43.33
SPACA5B, 43.42
RNU6ATAC31P, 38.42
LINC01686, 56.10
LINC01124, 33.40
HNRNPA0, 50.05
MRPL37P1, 97.41
P2RX5-TAX1BP3, 40.84
LINC01247, 13.01
RAB14, 45.55
RN7SL495P, 31.60
RPL23AP18, 71.52
TMEM108, 48.16
SAA2-SAA4, 53.74
RNU6-813P, 74.04
MIATNB, 68.51
SNORD105B, 21.13
DMRT2, 42.06
LINC01132, 12.63
EEF1B2P7, 34.82
FRA2F, 50.60
RNU6-718P, 53.54
RN7SKP129, 38.04
RNU6-1271P, 66.79
EIF4A2P3, 47.61
LINC00692, 81.88
BCL9P1, 12.17
RPL7AP67, 32.16
GHDC, 52.99
SCRG1, 68.11
RPS15AP2, 69.58
RGPD5, 59.41
MIR4435-2, 36.83
STAC, 61.09
RNU6-1270P, 36.68
KRTAP2-2, 35.26
MIR7-2, 38.97
MIR4650-1, 47.35
PRAMEF30P, 94.80
DPP10-AS1, 82.24
ABT1, 45.88
FGGY, 30.77
MIR3974, 64.63
HAL, 55.13
RPL32P10, 48.10
ODCP, 102.18
CKAP2, 60.28
TMEM26-AS1, 60.20
MIR3171, 60.89
RNU1-84P, 79.88
LINC00670, 72.24
CCDC54, 52.15
RPS23P9, 110.45
RNU6-351P, 43.05
RNY1P16, 54.23
RNU6-1255P, 46.27
MIR1306, 48.79
LAMP5-AS1, 88.71
HEBP1, 56.20
HPCA, 56.54
FOLH1B, 30.52
RNU6-1217P, 75.47
MIR20B, 100.62
MIR548AD, 74.86
RAC1P9, 65.04
GPC4, 34.26
TSPY4, 47.06
LINC01523, 36.52
AASDH, 45.86
GFOD2, 74.91
ADORA3, 45.62
RPL5P8, 31.81
STX12, 43.89
BRD8, 88.29
FGFRL1, 46.34
RN7SL426P, 66.82
TXNP3, 26.64
MIR7853, 98.60
RPL21P72, 58.54
RAB13, 72.24
RNU1-41P, 49.04
RPL10P6, 78.80
MIR510, 40.73
RPL10P14, 67.89
RPL23AP76, 45.05
RPS3P7, 33.67
RNU4ATAC9P, 38.58
SEPT14, 47.55
RNU6-296P, 28.15
SNORD115-46, 39.50
DAD1, 45.26
DEPDC5, 55.13
NDUFV2-AS1, 88.34
NEDD8, 60.04
SNRPGP20, 59.83
RPL7AP30, 19.08
RPL23AP91, 50.99
ZNF585A, 53.00
LINC01168, 42.56
MIR3681HG, 2.43
ZP4, 33.55
KRT16P2, 16.19
RPL19P20, 16.53
WDR37, 68.79
LRRC25, 48.63
MIR658, 68.33
MED28P5, 34.98
LINC01630, 49.47
ZNF709, 84.69
ZNF474, 34.91
IL17RC, 41.65
RPS18P9, 45.94
TBX5, 27.93
RPL26P4, 48.52
LRRC42, 58.29
SUMF2, 46.21
RNU6-1052P, 91.55
PSMD6-AS1, 84.84
LINC01872, 78.71
ATL3, 45.63
RN7SL853P, 24.70
CCDC60, 71.53
RN7SL849P, 56.69
RN7SL560P, 10.16
MIR15A, 60.33
RNU6-1280P, 47.81
CKS1BP5, 36.61
KRTAP3-2, 20.82
RPL32P33, 37.04
PDE9A, 31.84
CPQ, 49.56
PPA2, 45.74
RPSAP60, 74.11
MRX84, 53.82
RPS27AP3, 61.98
SNAR-I, 68.18
RPL6P25, 39.55
RNU6-790P, 38.49
RN7SL663P, 69.67
RN7SL135P, 27.19
RN7SKP173, 47.25
RPS10P28, 91.83
ADI1P2, 46.10
NRADDP, 8.05
MIR2114, 55.13
RPL19P3, 58.35
PTTG1IP, 73.78
MIR6875, 52.29
RPL17P33, 84.82
AMCN, 31.75
MIR4768, 1.13
RNY4P14, 12.43
MIA2, 55.18
RPL37, 44.03
CHCHD4P5, 27.71
ZBTB1, 2.84
LINC01176, 30.79
OSM, 49.04
PAICSP6, 70.29
KRTAP10-2, 57.34
LINC01120, 63.82
RPS3AP30, 43.30
SPATA6, 46.85
LINC00681, 63.29
TBX20, 56.16
RPL26P24, 36.84
ZNF837, 40.37
RN7SL860P, 72.00
LINC00959, 59.52
MIR1302-9, 46.96
TMEM173, 78.61
TRABD, 57.90
PCDHGA5, 14.86
SPAG17, 67.98
RNU6-528P, 31.70
C2orf42, 19.00
GGTLC3, 57.08
SMYD4, 3.34
USP32P1, 97.35
RPS15AP37, 48.18
CCDC130, 61.30
TMEM212, 48.01
LINC02200, 73.77
MIR3152, 40.70
KRT8P42, 76.45
RNU6-100P, 24.47
LINC01645, 33.75
ZNF337-AS1, 25.08
MIR224, 49.46
SNORD114-16, 75.81
RN7SL460P, 19.22
RPS27AP11, 86.97
RNU6-637P, 72.45
LINC02108, 25.87
RN7SKP90, 111.45
SNORA70I, 31.89
RPS26P58, 39.00
MTCYBP41, 44.57
CCDC85B, 31.48
MIR5093, 59.17
MRPL9, 66.21
RPS2P16, 80.02
MIR1343, 12.38
RPS12P10, 58.84
LINC02018, 43.46
DCST1-AS1, 35.88
GLTSCR2-AS1, 6.77
GLC1B, 76.87
GAPDHP25, 42.80
RPL10A, 32.05
SNORD32B, 67.23
SPATC1, 41.50
RPL36AP12, 45.76
RN7SL73P, 41.94
RP9, 38.65
RNU6-697P, 48.10
KRTAP4-9, 52.79
TSPAN2, 57.99
PCNPP5, 63.03
SAMD12, 18.05
LINC00648, 53.34
KPNA2P1, 20.28
MIR548F4, 55.52
RPL39P12, 64.77
CHRFAM7AP2, 78.44
RN7SL478P, 64.17
CT47A11, 79.12
TTTY7B, 21.16
RNU2-25P, 41.91
C10orf128, 87.50
UTF1, 7.66
CMD1K, 45.68
RPL18P12, 78.95
FRA10G, 65.15
DBX2, 13.29
XPO5, 16.84
CES1P2, 94.27
MIR524, 9.48
RABEPKP1, 75.39
RNU6-272P, 37.07
GLC1P, 81.07
ZNF649-AS1, 70.95
MTNR1B, 14.92
PGBD4P8, 25.10
ANAPC4, 54.46
LCE1F, 25.54
IBD6, 7.62
CIB3, 48.91
EIF4BP4, 43.66
PIRC32, 20.03
RPL17P34, 9.85
CCNG2P1, 72.90
HNRNPKP1, 36.89
IGHD4-17, 40.19
RPL27P12, 58.24
CICP26, 9.49
C16orf87, 77.49
RNU6-304P, 67.98
FRA3A, 49.28
RN7SKP180, 47.23
LINC01230, 35.67
VN1R41P, 60.97
LINC01924, 74.60
RNU6-1301P, 35.76
LINC02179, 18.37
CCDC66, 55.45
MIR4724, 51.92
KLHDC7A, 49.16
RNU6-223P, 77.67
MYO15A, 80.97
GPR21, 66.56
LINC01755, 53.33
FBXO41, 37.15
PAIP1, 50.96
RNU2-57P, 51.47
NRN1, 42.93
PFN1, 17.85
NRG1, 51.57
KRTAP9-1, 46.70
SCML4, 79.33
LRRC47, 96.34
TTC31, 18.63
PIRC22, 38.17
RPS26P30, 44.19
PEX12P1, 68.15
PIRC46, 65.82
RN7SL539P, 90.34
MADCAM1, 55.70
TRAJ27, 68.52
MIR4530, 63.29
RNU6-467P, 56.15
RN7SL843P, 40.21
RN7SL697P, 51.01
KIAA0040, 57.76
MRPS12, 58.81
RN7SL703P, 63.64
N4BP3, 49.05
RN7SL617P, 67.99
TRBV7-6, 44.09
VIPR1, 41.67
USP9YP27, 42.16
INS-IGF2, 70.60
RNU6-687P, 48.46
CCDC63, 21.00
MSLN, 40.10
CLIP1-AS1, 56.61
ZNF581, 68.48
EEF1A1P28, 47.93
RPL3P10, 41.24
C2orf48, 64.72
RPS26P12, 98.42
RNU7-183P, 12.69
GPR119, 34.26
RNU6-455P, 59.46
