RPL19P20 16.53
LINC00964 30.52
SVIL-AS1 98.09
HTN1 40.33
PGM1 45.31
MRT8 53.10
YEATS4 63.47
CTAA2 73.24
RPL32P10 48.10
RPS27AP3 61.98
LINC01120 63.82
MIR510 40.73
LINC01655 63.21
LRRC42 58.29
HPV18I1 50.23
RANBP9 90.35
LRRC14B 50.80
AQP7P4 87.38
P2RX5-TAX1BP3 40.84
RPL5 79.34
MTRNR2L7 26.53
GINGF2 36.89
LINC00582 51.94
MIR1193 63.90
TRAV10 84.66
RPS13P2 61.70
PDE9A 31.84
RNU6-589P 39.65
ICMT 37.36
RPL17P11 41.49
BANK1 55.58
MIR1306 48.79
LINC00959 59.52
NRADDP 8.05
MTDHP2 61.51
RAB13 72.24
LINC02174 49.39
C18orf32 64.10
LINC00457 41.16
MIR4530 63.29
RN7SKP90 111.45
MIR3668 60.17
LINC01959 26.97
DFNA49 72.33
CAPS 45.71
RPS26P53 45.28
RPL39P12 64.77
NXF2B 86.17
PRR20B 59.67
MAPKAPK2 36.26
RNY4P22 37.11
MIR539 34.75
CMR1A 69.21
RNU6-544P 87.66
LINC01010 36.12
TMEM26-AS1 60.20
LINC01874 50.36
LINC00914 58.48
FOLH1B 30.52
LINC01362 87.96
LINC02018 43.46
RPL29P4 36.36
CMD1K 45.68
MIR3974 64.63
PIRC32 20.03
RPS12P4 51.16
MIR3180-5 71.95
RNU6-794P 54.11
RPL36AP50 60.95
RNU6-1045P 43.96
MIR4691 57.80
EEF1A1P34 43.63
LRRC25 48.63
MIR592 63.77
RN7SL617P 67.99
PIRC17 55.56
ZBTB20-AS5 22.85
HAL 55.13
TDRD12 61.95
SPACA5B 43.42
RN7SKP171 90.35
RNU6-1326P 53.29
SCML4 79.33
MRPS12 58.81
FRA2C 78.33
RPL5P8 31.81
RNU6-528P 31.70
RPL17P32 45.26
SNORD110 36.00
GDF11 54.17
RN7SL209P 54.41
ADIPOR1P1 57.58
FOXP4-AS1 8.29
SNORA53 54.60
LDLRAD4-AS1 53.59
C9orf43 65.62
RNU6-455P 59.46
RPS19BP1 46.39
TBX5 27.93
RPL29P15 49.30
LINC01767 53.93
EIF4BP4 43.66
IL17RC 41.65
RNU6-905P 12.97
MIRLET7B 55.33
SCARNA26A 30.89
ZPBP 58.18
MIR5011 1.32
USP32P1 97.35
MIR378B 44.02
RPL21P120 43.33
VCY1B 31.03
SAMD12 18.05
MYO15A 80.97
WTIP 50.53
IGHD1-1 36.12
NRG3 65.77
SNX18P19 61.67
MIR199B 42.22
DYX2 69.45
CHCHD2P7 55.25
RN7SL228P 55.25
TXNP7 87.11
SNORD115-43 38.40
CDCA4P2 36.74
RPL7P17 57.31
TNIP2 28.00
PCDH20 56.55
RNU6-687P 48.46
